OrgID,FisYear,CDFlag,FeedDate,FYEndDate,CG_BD_BF,CG_BD_BS,CG_BD_CP,CG_In_VS,CG_Sh_SR,Ec_Ma_Pe,Ec_Pr_SL,Ec_Re_CL,En_En_ER,En_En_PI,En_En_RR,So_Cu_PR,So_So_Co,So_So_HR,So_Wo_DO,So_Wo_EQ,So_Wo_HS,So_Wo_TD,Score,CScore,ControversiesScore,ResourceUseScore,EmissionsScore,InnovationScore,WorkforceScore,HumanRightsScore,CommunityScore,ProductRespScore,ManagementScore,ShareholdersScore,CSRStrategyScore,Asset4Id,OrgName,BusTRBCId,PrimExchg,StatusFlag,OAId,tick,Cusip,Sedol,Isin
10625,2017,500,24/04/2022,29/10/2017,0.426578,0.754184,0.760018,0.857462,0.711479,0.925693,0.53352,0.970723,0.854925,0.979227,0.916254,0.907423,0.916917,0.94798,0.847035,0.95681,0.89852,0.864917,0.6489178479,0.6489178479,1,0.6836734694,0.414893617,0.8094170404,0.6799363057,0.495215311,0.9410828025,0.798951049,0.4609697387,0.6786451169,0.557320442,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
10625,2019,500,24/04/2022,03/11/2019,0.327727,0.279691,0.721714,0.905945,0.582129,0.198594,0.17223,0.769636,0.8965,0.912804,0.901405,0.987646,0.736819,0.896716,0.915886,0.921364,0.653152,0.863563,0.6915354354,0.6915354354,1,0.8856749311,0.7584745763,0.828358209,0.8270588235,0.6393188854,0.94,0.7726098191,0.3259483583,0.4512272872,0.7664007092,A4_00329,Deere & Company,5210,NYSE,1,4295903104,DE,24419910,226120,US2441991054
12284,2021,510,24/04/2022,,0.572635,0.510029,0.566097,0.879482,0.906308,0.532505,0.27872,0.2781,0.924627,0.880974,0.946597,0.50953,0.303973,0.833978,0.876378,0.191989,0.959435,0.77814,0.7509133713,0.458790019,0.1666666667,0.8582089552,0.7132352941,0.988372093,0.8355263158,0.8951612903,0.6710526316,0.7364864865,0.4722140112,0.775199527,0.8590133983,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
12284,2016,500,24/04/2022,30/06/2016,0.573183,0.797902,0.547776,0.900553,0.853309,0.710239,0.934793,0.507465,0.901761,0.973627,0.942115,0.852945,0.954027,0.926161,0.955691,0.868594,0.97534,0.855947,0.6842497493,0.6842497493,0.7777777778,0.8953488372,0.5119047619,0.9848484848,0.7916666667,0.9358974359,0.7666666667,0.5,0.4056199056,0.6836121836,0.6993865031,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
12284,2019,500,24/04/2022,30/06/2019,0.374011,0.479519,0.468867,0.92018,0.849877,0.088487,0.746894,0.736877,0.931105,0.886475,0.941706,0.513481,0.983312,0.851734,0.887674,0.187653,0.955071,0.806085,0.7139195229,0.7139195229,1,0.8606557377,0.8046875,0.9880952381,0.7602739726,0.8909090909,0.6712328767,0.7394366197,0.2554988843,0.6960471788,0.9561170213,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
12284,2015,500,24/04/2022,30/06/2015,0.560055,0.824742,0.606343,0.886593,0.832759,0.810163,0.44266,0.444357,0.88995,0.966377,0.939135,0.520124,0.703597,0.923832,0.949971,0.628442,0.972221,0.841338,0.7165904344,0.4082952172,0.1,0.9615384615,0.6125,0.9833333333,0.7549019608,0.7647058824,0.7058823529,0.73,0.4679210364,0.7085132634,0.696192053,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
12284,2012,500,24/04/2022,30/06/2012,0.887127,0.888031,0.522085,0.862774,0.666273,0.823238,0.844703,0.563662,0.925626,0.950611,0.93239,0.549156,0.664966,0.926788,0.93941,0.54963,0.969266,0.804005,0.6901788833,0.6901788833,0.8333333333,0.8714285714,0.6714285714,0.88,0.6951219512,0.3846153846,0.5487804878,0.7307692308,0.7867420349,0.7209660843,0.6981651376,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
12284,2020,500,24/04/2022,30/06/2020,0.477149,0.498696,0.432548,0.873574,0.889048,0.71558,0.560142,0.287982,0.926118,0.88481,0.945405,0.506751,0.277425,0.842758,0.879974,0.159464,0.957892,0.783767,0.7286815552,0.4143407776,0.1,0.8515625,0.723880597,0.987804878,0.8355263158,0.8916666667,0.6513157895,0.7364864865,0.3593517693,0.7503716919,0.8563333333,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
12284,2011,500,24/04/2022,30/06/2011,0.898464,0.873927,0.799511,0.891619,0.929006,0.782804,0.734625,0.400026,0.91418,0.959699,0.938377,0.465297,0.670576,0.948434,0.946389,0.716653,0.829283,0.825545,0.7494290427,0.3974417941,0.0454545455,0.9242424242,0.515625,0.9347826087,0.8333333333,0.5,0.6025641026,0.8421052632,0.8512690355,0.7121827411,0.731870229,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
12284,2013,500,24/04/2022,30/06/2013,0.90196,0.907135,0.672483,0.861583,0.74455,0.765215,0.664515,0.419075,0.847689,0.953855,0.935605,0.498408,0.864908,0.921138,0.94288,0.242459,0.968824,0.813141,0.5959218218,0.4586751966,0.3214285714,0.9305555556,0.625,0.88,0.7976190476,0.4107142857,0.5833333333,0.3170731707,0.535015448,0.6616889804,0.6979927007,A4_00186,Procter & Gamble Co,5420,NYSE,1,4295903247,PG,74271810,270440,US7427181091
